"","col_names","my.data"
"210",Jun 1967,30.79
"211",Jul 1967,23.75
"212",Aug 1967,26.28
"213",Sep 1967,36.67
"214",Oct 1967,68.91001
"215",Nov 1967,97.39
"216",Dec 1967,96.1
"217",Jan 1968,90.3
"218",Feb 1968,84.92
"219",Mar 1968,91.41001
"220",Apr 1968,92.54
"221",May 1968,98.04
"222",Jun 1968,99.96
"223",Jul 1968,88.83
"224",Aug 1968,83.07
"225",Sep 1968,86.32
"226",Oct 1968,99.83
"227",Nov 1968,96.62
"228",Dec 1968,99.94
"229",Jan 1969,96.89
"230",Feb 1969,85.12
"231",Mar 1969,77.97
"232",Apr 1969,67.38
"233",May 1969,44.5
"234",Jun 1969,26.72
"235",Jul 1969,13.25
"236",Aug 1969,10.64
"237",Sep 1969,23.83
"238",Oct 1969,29.18
"239",Nov 1969,26.91
"240",Dec 1969,20.09
"241",Jan 1970,22.33
"242",Feb 1970,22.07
"243",Mar 1970,26.2
"244",Apr 1970,29.81
"245",May 1970,30.1
"246",Jun 1970,24.25
"247",Jul 1970,25.3
"248",Aug 1970,23.5
"249",Sep 1970,35.62
"250",Oct 1970,52.11
"251",Nov 1970,56.79
"252",Dec 1970,69.09
"253",Jan 1971,86.64
"254",Feb 1971,99.28
"255",Mar 1971,98.48001
"256",Apr 1971,98.45
"257",May 1971,94.76999
"258",Jun 1971,93.58
"259",Jul 1971,78.07
"260",Aug 1971,66.88
"261",Sep 1971,77.04
"262",Oct 1971,88.72
"263",Nov 1971,94.88
"264",Dec 1971,99.67
"265",Jan 1972,100
"266",Feb 1972,99.9
"267",Mar 1972,96.91001
"268",Apr 1972,66.88
"269",May 1972,52.39
"270",Jun 1972,40.61
"271",Jul 1972,30.65
"272",Aug 1972,32.04
"273",Sep 1972,45.28
"274",Oct 1972,35
"275",Nov 1972,35.62
"276",Dec 1972,36.98
"277",Jan 1973,39.89
"278",Feb 1973,36.88
"279",Mar 1973,30.85
"280",Apr 1973,19.33
"281",May 1973,13.26
"282",Jun 1973,11.12
"283",Jul 1973,9.140001
"284",Aug 1973,8.21
"285",Sep 1973,10.76
"286",Oct 1973,10.43
"287",Nov 1973,13.75
"288",Dec 1973,37.91
"289",Jan 1974,41.85
"290",Feb 1974,44.67
"291",Mar 1974,50.57
"292",Apr 1974,50.34
"293",May 1974,49.54
"294",Jun 1974,56.93
"295",Jul 1974,60.16
"296",Aug 1974,57.47
"297",Sep 1974,71.68
"298",Oct 1974,97.28
"299",Nov 1974,62.09
"300",Dec 1974,59.97
"301",Jan 1975,51.18
"302",Feb 1975,51.48
"303",Mar 1975,66.08
"304",Apr 1975,86.39
"305",May 1975,93.58
"306",Jun 1975,99.9
"307",Jul 1975,93.86
"308",Aug 1975,82.82
"309",Sep 1975,84.83999
"310",Oct 1975,89.51
"311",Nov 1975,86.89
"312",Dec 1975,87.15
"313",Jan 1976,78.47
"314",Feb 1976,55.93
"315",Mar 1976,41.27
"316",Apr 1976,19.66
"317",May 1976,9.439999
"318",Jun 1976,4.66
"319",Jul 1976,2.36
"320",Aug 1976,1.72
"321",Sep 1976,3.32
"322",Oct 1976,12.13
"323",Nov 1976,16.81
"324",Dec 1976,24.3
"325",Jan 1977,52.42
"326",Feb 1977,58.05
"327",Mar 1977,59.42
"328",Apr 1977,57.52
"329",May 1977,60.13
"330",Jun 1977,64.68
"331",Jul 1977,74.94
"332",Aug 1977,69.73001
"333",Sep 1977,77.11
"334",Oct 1977,97.93
"335",Nov 1977,98.74
"336",Dec 1977,98.88
"337",Jan 1978,90.41001
"338",Feb 1978,77.86
"339",Mar 1978,61.48
"340",Apr 1978,47.66
"341",May 1978,30.74
"342",Jun 1978,20.11
"343",Jul 1978,12.08
"344",Aug 1978,8.97
"345",Sep 1978,20.03
"346",Oct 1978,71.54
"347",Nov 1978,97.51999
"348",Dec 1978,95.14
"349",Jan 1979,92.22
"350",Feb 1979,80.09
"351",Mar 1979,74.59
"352",Apr 1979,83.66001
"353",May 1979,87.36
"354",Jun 1979,96.63
"355",Jul 1979,93.36
"356",Aug 1979,94.7
"357",Sep 1979,99.66001
"358",Oct 1979,91.6
"359",Nov 1979,89.98001
"360",Dec 1979,99.39
"361",Jan 1980,99.46
"362",Feb 1980,99.37
"363",Mar 1980,99.51999
"364",Apr 1980,96.64
"365",May 1980,89.55
"366",Jun 1980,68.67
"367",Jul 1980,65.02
"368",Aug 1980,61.82
"369",Sep 1980,76.92
"370",Oct 1980,80.17
"371",Nov 1980,77.48001
"372",Dec 1980,82.34
"373",Jan 1981,74.11
"374",Feb 1981,69.03
"375",Mar 1981,79.48001
"376",Apr 1981,78.76
"377",May 1981,67.55
"378",Jun 1981,59.98
"379",Jul 1981,44.35
"380",Aug 1981,41.18
"381",Sep 1981,71.53
"382",Oct 1981,95.51999
"383",Nov 1981,93.48001
"384",Dec 1981,98.18
"385",Jan 1982,70.48001
"386",Feb 1982,77.63
"387",Mar 1982,88.11
"388",Apr 1982,93.15
"389",May 1982,99.01
"390",Jun 1982,93.31
"391",Jul 1982,81.21
"392",Aug 1982,79.63
"393",Sep 1982,80.67
"394",Oct 1982,85.63
"395",Nov 1982,88.66001
"396",Dec 1982,93.65
"397",Jan 1983,95.49
"398",Feb 1983,98.26999
"399",Mar 1983,86.19
"400",Apr 1983,79.69
"401",May 1983,72.26
"402",Jun 1983,35.06
"403",Jul 1983,20.98
"404",Aug 1983,29.67
"405",Sep 1983,42.09
"406",Oct 1983,52.96
"407",Nov 1983,69.45
"408",Dec 1983,76.86
"409",Jan 1984,86.19
"410",Feb 1984,96
"411",Mar 1984,96.07
"412",Apr 1984,86.85
"413",May 1984,76.66001
"414",Jun 1984,61.47
"415",Jul 1984,46.26
"416",Aug 1984,40.15
"417",Sep 1984,72.59
"418",Oct 1984,85.17
"419",Nov 1984,91.74
"420",Dec 1984,99.22
"421",Jan 1985,76.55
"422",Feb 1985,64.17
"423",Mar 1985,69.2
"424",Apr 1985,70.37
"425",May 1985,79.55
"426",Jun 1985,74.79
"427",Jul 1985,70.9
"428",Aug 1985,78.86
"429",Sep 1985,84.28
"430",Oct 1985,83.43
"431",Nov 1985,85.55
"432",Dec 1985,80.17
"433",Jan 1986,90.82
"434",Feb 1986,99.39
"435",Mar 1986,99.18
"436",Apr 1986,89.1
"437",May 1986,82.18
"438",Jun 1986,77.64
"439",Jul 1986,55.93
"440",Aug 1986,49.73
"441",Sep 1986,70.12
"442",Oct 1986,79.2
"443",Nov 1986,87.83
"444",Dec 1986,88.2
"445",Jan 1987,94.83
"446",Feb 1987,98.66001
"447",Mar 1987,94.83999
"448",Apr 1987,83.06
"449",May 1987,61.42
"450",Jun 1987,47.47
"451",Jul 1987,31.81
"452",Aug 1987,22.95
"453",Sep 1987,17.87
